text,label
"Used iPhone 13, normal wear, inspect and pay in person at Bishan MRT",0
"IKEA desk in good condition, pickup only, measurements available",0
"Sony headphones with receipt, test before purchase",0
"Textbook set with highlighted pages, cash on collection",0
"Bicycle recently serviced, view near East Coast",0
"Nintendo Switch including charger, minor scratches shown in photos",0
"Leather jacket size M, selling because it no longer fits",0
"Coffee machine works well, descaled last month",0
"Canon camera body with battery and charger, shutter count provided",0
"Office chair with adjustable height, pickup from Tampines",0
"MacBook Air with serial number available during viewing, no deposit",0
"Yoga mat used twice, clean and available this weekend",0
"Air fryer in working condition, welcome to test it",0
"Guitar with cosmetic marks, local meetup only",0
"Vacuum cleaner with replacement filter and original box",0
"Samsung phone, screen has small scratch, priced accordingly",0
"Brand new iPhone 16 for 50 dollars urgent payment gift cards only",1
"Wire transfer deposit now, courier will deliver after payment",1
"Guaranteed authentic luxury bag, no viewing, crypto only",1
"Account verification fee required before you can collect item",1
"Too good to be true PS5, pay outside platform immediately",1
"Seller overseas, send OTP and bank details to reserve",1
"Click this shortened link and log in to receive the product",1
"Advance payment required, WhatsApp only, do not message here",1
"Free laptop, just pay insurance and shipping with vouchers",1
"Limited time, full payment now, cannot provide more photos",1
"Escrow agent will contact you, share verification code",1
"Cheap brand new MacBook, payment by cryptocurrency, no refund",1
"Send card number and CVV to confirm purchase",1
"Deposit immediately or item goes to another buyer, no inspection",1
"Marketplace support needs your password to release the parcel",1
"Remote courier transaction, scan QR code to receive money",1
"Authentic designer shoes at impossible price, gift card payment",1
"Pay a customs fee first and the item will be released",1
